,inputType,sentences,target,trans_input
1973,0,  prénom tag input attributes name firstname type text label prénom ua autofill hints name first id sso firstname crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength   tag form attributes name sso form   nom tag input attributes name lastname type text label nom ua autofill hints name last id sso name crowdsourcing autofill hints name last computed autofill hints name last crowdsourcing predictions autofill hints name last maxlength   missing tag input attributes name civility type radio label mme ua autofill hints id sso civilite crowdsourcing autofill hints no server data computed autofill hints unknown type ,17,tag input attributes name type text label name first id name first name first name first tag form attributes name form name tag input attributes name type text label name name last id name name last name last name last tag input attributes name type radio label id no server data unknown type
1974,0,  nom tag input attributes name lastname type text label nom ua autofill hints name last id sso name crowdsourcing autofill hints name last computed autofill hints name last crowdsourcing predictions autofill hints name last maxlength   tag form attributes name sso form   n client tag input attributes name subscribernumber type text label n client ua autofill hints id sso abonnement num crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   prénom tag input attributes name firstname type text label prénom ua autofill hints name first id sso firstname crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength ,17,name tag input attributes name type text label name name last id name name last name last name last tag form attributes name form n client tag input attributes name type text label n client id no server data unknown type no server data tag input attributes name type text label name first id name first name first name first
1975,0,  email tag input attributes name email type email label email ua autofill hints email address id sso email crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength   tag form attributes name sso form   missing tag input attributes name issubscriber type radio label non ua autofill hints id sso abonnefalse crowdsourcing autofill hints no server data computed autofill hints unknown type   nom tag input attributes name lastname type text label nom ua autofill hints name last id sso name crowdsourcing autofill hints name last computed autofill hints name last crowdsourcing predictions autofill hints name last maxlength ,15,email tag input attributes name email type email label email email address id email email address email address email address tag form attributes name form tag input attributes name type radio label non id no server data unknown type name tag input attributes name type text label name name last id name name last name last name last
1976,0,  mot de passe tag input attributes name password type password label mot de passe ua autofill hints id sso pass crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name sso form   missing tag input attributes name civility type radio label mme ua autofill hints id sso civilite crowdsourcing autofill hints no server data computed autofill hints unknown type   prénom tag input attributes name firstname type text label prénom ua autofill hints name first id sso firstname crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength ,18,word de tag input attributes name password type password label word de id pass no server data unknown type no server data tag form attributes name form tag input attributes name type radio label id no server data unknown type tag input attributes name type text label name first id name first name first name first
1980,0,  prénom tag input attributes name firstname type text label prénom ua autofill hints name first id sso firstname crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength   tag form attributes name sso form   missing tag input attributes name cguaccepted type checkbox label j accepte les conditions générales d utilisation ua autofill hints id sso conditions crowdsourcing autofill hints no server data computed autofill hints unknown type   missing tag input attributes name notsubscribenewsletter type checkbox label je ne souhaite pas recevoir des informations et des offres commerciales de groupe canal ua autofill hints id sso infos canal crowdsourcing autofill hints no server data computed autofill hints unknown type ,17,tag input attributes name type text label name first id name first name first name first tag form attributes name form tag input attributes name type label j les conditions d id conditions no server data unknown type tag input attributes name type label i ne pitch receive des et des de group id no server data unknown type
1981,0,  nom tag input attributes name lastname type text label nom ua autofill hints name last id sso name crowdsourcing autofill hints name last computed autofill hints name last crowdsourcing predictions autofill hints name last maxlength   tag form attributes name sso form   email tag input attributes name email type email label email ua autofill hints email address id sso email crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength   code postal tag input attributes name zipcode type text label code postal ua autofill hints address home zip id sso postcode crowdsourcing autofill hints no server data computed autofill hints address home zip crowdsourcing predictions autofill hints no server data maxlength ,17,name tag input attributes name type text label name name last id name name last name last name last tag form attributes name form email tag input attributes name email type email label email email address id email email address email address email address code postal tag input attributes name type text label code postal address home zip id no server data address home zip no server data
1982,0,  email tag input attributes name email type email label email ua autofill hints email address id sso email crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength   tag form attributes name sso form   code postal tag input attributes name zipcode type text label code postal ua autofill hints address home zip id sso postcode crowdsourcing autofill hints no server data computed autofill hints address home zip crowdsourcing predictions autofill hints no server data maxlength   confirmer mot de passe tag input attributes name passwordconfirmation type password label confirmer le mot de passe ua autofill hints id sso pass crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength ,15,email tag input attributes name email type email label email email address id email email address email address email address tag form attributes name form code postal tag input attributes name type text label code postal address home zip id no server data address home zip no server data word de tag input attributes name type password label le word de id pass no server data unknown type no server data
1983,0,  mot de passe tag input attributes name password type password label mot de passe ua autofill hints id sso pass crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name sso form   missing tag input attributes name civility type radio label mme ua autofill hints id sso civilite crowdsourcing autofill hints no server data computed autofill hints unknown type   missing tag input attributes name issubscriber type radio label oui ua autofill hints id sso abonnetrue crowdsourcing autofill hints no server data computed autofill hints unknown type ,18,word de tag input attributes name password type password label word de id pass no server data unknown type no server data tag form attributes name form tag input attributes name type radio label id no server data unknown type tag input attributes name type radio label yes id no server data unknown type
1987,33,  mail  connexion mail  container  textinput placeholder,15,mail mail
1988,129,  password  connexion password    container,18,password password
1989,0,  email tag input attributes name ssoemail type email label email ua autofill hints id sso email crowdsourcing autofill hints username computed autofill hints username crowdsourcing predictions autofill hints username maxlength   tag form attributes name sso form   decor content parent  decor content parent,15,email tag input attributes name type email label email id email username username username tag form attributes name form content parent content parent
1990,0,  mot de passe tag input attributes name ssopass type password label mot de passe ua autofill hints id sso pass crowdsourcing autofill hints password computed autofill hints password crowdsourcing predictions autofill hints password maxlength   tag form attributes name sso form   email tag input attributes name ssoemail type email label email ua autofill hints id sso email crowdsourcing autofill hints username computed autofill hints username crowdsourcing predictions autofill hints username maxlength   decor content parent,18,word de tag input attributes name type password label word de id pass password password password tag form attributes name form email tag input attributes name type email label email id email username username username content parent
1991,0,  name on card tag input attributes name ppw accountholdername type text label name on card ua autofill hints credit card name full id pp vihp crowdsourcing autofill hints no server data computed autofill hints credit card name full maxlength   tag form attributes name pp vihp   missing tag input attributes name ppw expirationdate year type select one label expiry date ua autofill hints credit card exp digit year id pp vihp crowdsourcing autofill hints no server data computed autofill hints credit card exp digit year   mash web fragment,17,name on card tag input attributes name type text label name on card credit card name full id pp no server data credit card name full tag form attributes name pp tag input attributes name year type select one label date credit card exp year id pp no server data credit card exp year web
1992,0,  card number tag input attributes name addcreditcardnumber type tel label card number ua autofill hints credit card number id pp vihp crowdsourcing autofill hints no server data computed autofill hints credit card number maxlength   tag form attributes name pp vihp   missing tag input attributes name ppw expirationdate month type select one label expiry date ua autofill hints credit card exp month id pp vihp crowdsourcing autofill hints no server data computed autofill hints credit card exp month   name on card tag input attributes name ppw accountholdername type text label name on card ua autofill hints credit card name full id pp vihp crowdsourcing autofill hints no server data computed autofill hints credit card name full maxlength ,12,card number tag input attributes name type tel label card number credit card number id pp no server data credit card number tag form attributes name pp tag input attributes name month type select one label date credit card exp month id pp no server data credit card exp month name on card tag input attributes name type text label name on card credit card name full id pp no server data credit card name full
1993,0,  missing tag input attributes name ppw expirationdate month type select one label expiry date ua autofill hints credit card exp month id pp vihp crowdsourcing autofill hints no server data computed autofill hints credit card exp month   tag form attributes name pp vihp   missing tag input attributes name ppw getnameonaccount type checkbox label enter your credit card information we ll save this card so you can use it again later ua autofill hints id pp vihp crowdsourcing autofill hints no server data computed autofill hints unknown type   mash web fragment,13,tag input attributes name month type select one label date credit card exp month id pp no server data credit card exp month tag form attributes name pp tag input attributes name type label enter your credit card information we save this card so you can use it again later id pp no server data unknown type web
1994,0,  missing tag input attributes name ppw expirationdate year type select one label expiry date ua autofill hints credit card exp digit year id pp vihp crowdsourcing autofill hints no server data computed autofill hints credit card exp digit year   tag form attributes name pp vihp   mash web fragment  mash web fragment,13,tag input attributes name year type select one label date credit card exp year id pp no server data credit card exp year tag form attributes name pp web web
1996,2,  ub base input edit text  add card number  ub base input start enhancer container  ub base input end spacer,12,base input edit text add card number base input start base input end
1997,20,  mm yy ub base input edit text  add card expiration  ub base input end spacer  ub base input text center,13,mm base input edit text add card base input end base input text center
1999,2,  ub base input edit text  add card zip code  ub base input top content barrier  ub base input start spacer,5,base input edit text add card zip code base input top content base input start
2000,0,  ub base input edit text  ub payment country button  ub base input heading  ub base input end spacer,10,base input edit text payment country button base input base input end
2001,2,  请输入手机号 i    titletext  titlerightbutton,19,i
2002,524289,  email   action bar root    ,15,email action bar root
2003,1,  username or email   missing   missing ,15,username or email
2004,1,  username   missing   missing ,15,username
2005,1,  email   missing   missing ,15,email
2006,225,  password   missing   missing   missing ,18,password
2007,1,  email   missing   missing ,15,email
2008,225,  password   missing   missing   missing ,18,password
2009,225,  new password   missing   missing   missing ,18,new password
2010,225,  retype new password   missing   missing   missing ,18,new password
2011,225,  new password   missing   missing   missing ,18,new password
2012,225,  retype new password   missing   missing   missing ,18,new password
2013,2,  phone number phone number  action bar root  person policy  login in,19,phone number phone number action bar root person policy login in
2014,0,  enter your email address tag input attributes name notion email input type email label email ua autofill hints id notion email input crowdsourcing autofill hints no server data computed autofill hints html type email maxlength   tag form attributes name   missing tag input attributes name type password label emailcontinue with emailforgot password you can also continue with saml sso ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type maxlength   missing tag input attributes name type password label emailcontinue with emailforgot password you can also continue with saml sso ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type maxlength ,15,enter your email address tag input attributes name email input type email label email id email input no server data html type email tag form attributes name tag input attributes name type password label with password you can also continue with id no server data unknown type tag input attributes name type password label with password you can also continue with id no server data unknown type
2016,0,  enter your email address tag input attributes name notion email input type email label email ua autofill hints id notion email input crowdsourcing autofill hints email address computed autofill hints html type email crowdsourcing predictions autofill hints email address username maxlength   tag form attributes name   enter login code tag input attributes name notion password input type text label sign up code ua autofill hints id notion password input crowdsourcing autofill hints no server data computed autofill hints html type one time code maxlength   enter login code tag input attributes name notion password input type text label sign up code ua autofill hints id notion password input crowdsourcing autofill hints no server data computed autofill hints html type one time code maxlength ,15,enter your email address tag input attributes name email input type email label email id email input email address html type email email address username tag form attributes name enter login code tag input attributes name password input type text label sign up code id password input no server data html type one time code enter login code tag input attributes name password input type text label sign up code id password input no server data html type one time code
2018,0,  e g ada lovelace ada al tag input attributes name type text label e g ada lovelace ada al ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name   missing tag input attributes name type textarea label ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data   ,17,e g al tag input attributes name type text label e g al id no server data unknown type no server data tag form attributes name tag input attributes name type label id no server data unknown type no server data
2020,0,  new password tag input attributes name type password label new password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name   missing tag input attributes name type textarea label ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data   missing tag input attributes name type text label what should we call you ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints html type email crowdsourcing predictions autofill hints no server data maxlength ,18,new password tag input attributes name type password label new password id no server data unknown type no server data tag form attributes name tag input attributes name type label id no server data unknown type no server data tag input attributes name type text label what should we call you id no server data html type email no server data
2022,0,  enter old password tag input attributes name type password label enter old password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name   enter new password tag input attributes name type password label enter new password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   ,18,enter old password tag input attributes name type password label enter old password id no server data unknown type no server data tag form attributes name enter new password tag input attributes name type password label enter new password id no server data unknown type no server data
2023,0,  enter new password tag input attributes name type password label enter new password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name   missing tag input attributes name type text label old passwordnew passwordrepeat passworduse a password at least letters long or at least characters long with both letters and numbers change password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints html type email maxlength   missing tag input attributes name type textarea label ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data ,18,enter new password tag input attributes name type password label enter new password id no server data unknown type no server data tag form attributes name tag input attributes name type text label old a password at least letters long or at least characters long with both letters and numbers change password id no server data html type email tag input attributes name type label id no server data unknown type no server data
2024,0,  repeat new password tag input attributes name type password label repeat new password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name   missing tag input attributes name type textarea label ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data   missing tag input attributes name type textarea label ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data ,18,repeat new password tag input attributes name type password label repeat new password id no server data unknown type no server data tag form attributes name tag input attributes name type label id no server data unknown type no server data tag input attributes name type label id no server data unknown type no server data
2026,0,  enter your email address tag input attributes name notion email input type email label email ua autofill hints id notion email input crowdsourcing autofill hints email address computed autofill hints html type email crowdsourcing predictions autofill hints email address username maxlength   tag form attributes name   ,15,enter your email address tag input attributes name email input type email label email id email input email address html type email email address username tag form attributes name
2028,0,  enter new password tag input attributes name type password label enter new password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name     ,18,enter new password tag input attributes name type password label enter new password id no server data unknown type no server data tag form attributes name
2029,0,  repeat new password tag input attributes name type password label repeat new password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints unknown type crowdsourcing predictions autofill hints no server data maxlength   tag form attributes name   missing tag input attributes name type text label passwordrepeat passworduse a password at least letters long or at least characters long with both letters and numbers set a password ua autofill hints id crowdsourcing autofill hints no server data computed autofill hints html type email crowdsourcing predictions autofill hints no server data maxlength   ,18,repeat new password tag input attributes name type password label repeat new password id no server data unknown type no server data tag form attributes name tag input attributes name type text label a password at least letters long or at least characters long with both letters and numbers set a password id no server data html type email no server data
2031,1,  input email address here   action bar root    ,15,input email address here action bar root
2036,129,  tap to input password   action bar root    ,18,to input password action bar root
2037,129,  click here to confirm the password   action bar root    ,18,click here to confirm the password action bar root
2039,1,  input email address here   action bar root    ,15,input email address here action bar root
2044,129,  tap to input password   action bar root    ,18,to input password action bar root
2045,129,  click here to confirm the password   action bar root  input email code   ,18,click here to confirm the password action bar root input email code
2048,1,  input email address here   action bar root  tap to input password   ,15,input email address here action bar root to input password
2053,129,  tap to input password   action bar root    ,18,to input password action bar root
2054,129,  click here to confirm the password   action bar root    ,18,click here to confirm the password action bar root
2055,1,    action bar root    ,15,action bar root
2056,129,    action bar root    ,18,action bar root
2058,129,    action bar root    ,18,action bar root
2059,3,  手机号码 edit mobile  fragment container  getverify  mine title rl,19,edit mobile mine title
2061,33,  邮箱地址 phonenum  fragment container  next  手机号 邮箱 用户名 accout,15,next
2065,33,  email retrieve email address  action bar root  retrieve password next  action mode bar stub,15,email email address action bar root password next action mode bar
2066,33,  email register email address  action bar root  cb fund password show  register country id,15,email register email address action bar root fund password show register country id
2067,129,  input login password login password setting  action bar root  register country id  rg title,18,input login password login password setting action bar root register country id title
2068,129,  input fund password fund password setting  action bar root    action mode bar stub,18,input fund password fund password setting action bar root action mode bar
2070,0,  password tag input attributes name oldpassword type password label type your current password ua autofill hints id old password crowdsourcing autofill hints password computed autofill hints password crowdsourcing predictions autofill hints password maxlength   tag form attributes name infra web viewer webview  settings webview container  password tag input attributes name newpasswordconfirm type password label retype your new password ua autofill hints id new password confirm crowdsourcing autofill hints confirmation password computed autofill hints confirmation password crowdsourcing predictions autofill hints confirmation password maxlength ,18,password tag input attributes name type password label type your current password id old password password password password tag form attributes name web settings password tag input attributes name type password label your new password id new password confirm password password password
2071,0,  password tag input attributes name newpassword type password label type your new password password must include at least characters including at least number or special character ua autofill hints id new password crowdsourcing autofill hints new password computed autofill hints new password crowdsourcing predictions autofill hints new password maxlength   tag form attributes name infra web viewer webview  missing tag input attributes name issignoutofallsessions type checkbox label yesno ua autofill hints id signout all sessions crowdsourcing autofill hints no server data computed autofill hints unknown type   password tag input attributes name oldpassword type password label type your current password ua autofill hints id old password crowdsourcing autofill hints password computed autofill hints password crowdsourcing predictions autofill hints password maxlength ,18,password tag input attributes name type password label type your new password password must include at least characters including at least number or special character id new password new password new password new password tag form attributes name web tag input attributes name type label id all sessions no server data unknown type password tag input attributes name type password label type your current password id old password password password password
2072,0,  password tag input attributes name newpasswordconfirm type password label retype your new password ua autofill hints id new password confirm crowdsourcing autofill hints confirmation password computed autofill hints confirmation password crowdsourcing predictions autofill hints confirmation password maxlength   tag form attributes name infra web viewer webview  password tag input attributes name oldpassword type password label type your current password ua autofill hints id old password crowdsourcing autofill hints password computed autofill hints password crowdsourcing predictions autofill hints password maxlength   password tag input attributes name oldpassword type password label type your current password ua autofill hints id old password crowdsourcing autofill hints password computed autofill hints password crowdsourcing predictions autofill hints password maxlength ,18,password tag input attributes name type password label your new password id new password confirm password password password tag form attributes name web password tag input attributes name type password label type your current password id old password password password password password tag input attributes name type password label type your current password id old password password password password
2073,0,  missing tag input attributes name username type text label email or phone ua autofill hints id username crowdsourcing autofill hints username computed autofill hints username crowdsourcing predictions autofill hints username maxlength   tag form attributes name reset password form infra web viewer webview  settings webview container,19,tag input attributes name username type text label email or phone id username username username username tag form attributes name password form web settings
2075,0,  missing tag input attributes name newpassword type password label new password ua autofill hints id newpassword crowdsourcing autofill hints account creation password computed autofill hints account creation password crowdsourcing predictions autofill hints account creation password maxlength   tag form attributes name confirm password reset form infra web viewer webview  missing tag input attributes name deleteallsession type checkbox label require all devices to sign in with new password ua autofill hints id deleteallsession crowdsourcing autofill hints no server data computed autofill hints unknown type   settings webview container,18,tag input attributes name type password label new password id account creation password account creation password account creation password tag form attributes name confirm password form web tag input attributes name type label require all devices to sign in with new password id no server data unknown type settings
2076,0,  missing tag input attributes name confirmpassword type password label retype new password ua autofill hints id confirmpassword crowdsourcing autofill hints confirmation password computed autofill hints confirmation password crowdsourcing predictions autofill hints confirmation password maxlength   tag form attributes name confirm password reset form infra web viewer webview  settings webview container  missing tag input attributes name deleteallsession type checkbox label require all devices to sign in with new password ua autofill hints id deleteallsession crowdsourcing autofill hints no server data computed autofill hints unknown type ,18,tag input attributes name type password label new password id password password password tag form attributes name confirm password form web settings tag input attributes name type label require all devices to sign in with new password id no server data unknown type
2077,33,  email email  email layout  textinput error  textinput suffix text,15,email email email layout error text
2078,8193,  first last name name  name layout  fragment register email  textinput placeholder,17,first last name name name layout register email
2079,129,  new password password  password layout  textinput suffix text  textinput suffix text,18,new password password password layout text text
2080,65569,  email or mobile number tv login main account  fl login main  btn login main next  include login tips,19,email or mobile number tv login main account fl login main login main next include login tips
2081,145,  password chars at least et setting pwd password  fl login main  ll content  tv setting pwd title,18,password at least et setting password fl login main content tv setting title
2083,65569,  email or mobile number tv login main account  fl login main    rl login main other login,19,email or mobile number tv login main account fl login main login main other login
2085,145,  password chars at least et setting pwd password  fl login main  tv setting pwd title  ll content,18,password at least et setting password fl login main tv setting title content
2086,33,    action bar root    ,15,action bar root
2087,129,    action bar root    ,18,action bar root
2089,129,    action bar root    ,15,action bar root
2092,225,  missing user password  missing new user  missing user password confirmation  missing ,18,user password new user user password
2093,225,  missing user password confirmation  missing new user  missing user password  missing ,18,user password new user user password
2095,129,    action bar root    ,18,action bar root
2096,129,    action bar root    ,18,action bar root
2097,540673,  first name   action bar root    ,17,first name action bar root
2098,540673,  last name   action bar root    first name ,17,last name action bar root first name
2099,524321,  email address   action bar root    ,15,email address action bar root
2100,540801,  minimum characters   action bar root    ,18,minimum characters action bar root
2101,540675,  your phone number   action bar root    ,19,your phone number action bar root
2103,209,  email email email  missing   missing ,15,email email email
2104,225,  password password  missing   missing ,18,password password
2105,225,  password password confirmation  missing   missing ,18,password password
2107,32,  email address et account  ll account  tv choose phone code  ll root,15,email address et account account tv choose phone code root
2109,32,  email address et account  ll account  view divider  view divider,15,email address et account account view view
2111,129,  login password   et new pwd  ll root,18,login password et new root
2112,129,  confirm login password   et new pwd confirm  ll root,18,confirm login password et new confirm root
2113,129,  please enter the old password   et old pwd  fl container,18,please enter the old password et old fl
2114,129,  new password   et new pwd  fl container,18,new password et new fl
2115,129,  confirm login password   et new pwd confirm  fl container,18,confirm login password et new confirm fl
2117,129,  login password   et new pwd  ll root,18,login password et new root
2118,129,  confirm login password   et new pwd confirm  ll root,18,confirm login password et new confirm root
2119,33,  email or username edit text username    content container  textinput placeholder,15,email or username edit text username content
2126,0,  missing tag input attributes name pass type password label password ua autofill hints id pass crowdsourcing autofill hints password computed autofill hints password crowdsourcing predictions autofill hints password maxlength   tag form attributes name webview  scroll container  scroll container,18,tag input attributes name pass type password label password id pass password password password tag form attributes name
2127,0,  missing tag input attributes name email type text label ua autofill hints email address id crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength   tag form attributes name upkform user cordova webview  missing tag input attributes name fname type text label first name ua autofill hints name first id name crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength   missing tag input attributes name fname type text label first name ua autofill hints name first id name crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength ,15,tag input attributes name email type text label email address id email address email address email address tag form attributes name user tag input attributes name type text label first name name first id name name first name first name first tag input attributes name type text label first name name first id name name first name first name first
2128,0,  missing tag input attributes name lname type text label last name ua autofill hints name last id name crowdsourcing autofill hints name last computed autofill hints name last crowdsourcing predictions autofill hints name last maxlength   tag form attributes name upkform user cordova webview  missing tag input attributes name email type text label ua autofill hints email address id crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength   missing tag input attributes name email type text label ua autofill hints email address id crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength ,17,tag input attributes name type text label last name name last id name name last name last name last tag form attributes name user tag input attributes name email type text label email address id email address email address email address tag input attributes name email type text label email address id email address email address email address
2129,0,  missing tag input attributes name fname type text label first name ua autofill hints name first id name crowdsourcing autofill hints name first computed autofill hints name first crowdsourcing predictions autofill hints name first maxlength   tag form attributes name upkform user cordova webview  missing tag input attributes name email type text label ua autofill hints email address id crowdsourcing autofill hints email address computed autofill hints email address crowdsourcing predictions autofill hints email address maxlength   missing tag input attributes name lname type text label last name ua autofill hints name last id name crowdsourcing autofill hints name last computed autofill hints name last crowdsourcing predictions autofill hints name last maxlength ,17,tag input attributes name type text label first name name first id name name first name first name first tag form attributes name user tag input attributes name email type text label email address id email address email address email address tag input attributes name type text label last name name last id name name last name last name last
2130,2,  mobile number textinput edittext  textinput layout  root layout  ,19,mobile number layout root layout
2131,129,  password textinput edittext  textinput layout    ,18,password layout
2132,2,  textinput edittext  textinput layout    ,19,layout
2135,0,  携帯電話番号 tag input attributes name verify tel type tel label 携帯電話番号 ua autofill hints phone home whole number id tel crowdsourcing autofill hints phone home city and number computed autofill hints phone home city and number crowdsourcing predictions autofill hints phone home city and number maxlength   tag form attributes name theform appsso webview authorization  missing tag input attributes name ppa check type checkbox label グループ企業とのデータ連携に同意する ua autofill hints id ppa check crowdsourcing autofill hints no server data computed autofill hints unknown type   メールアドレス tag input attributes name verify mail type text label メールアドレス ua autofill hints email address id mail crowdsourcing autofill hints no server data computed autofill hints email address crowdsourcing predictions autofill hints no server data maxlength ,19,tag input attributes name verify tel type tel label phone home whole number id tel phone home city and number phone home city and number phone home city and number tag form attributes name tag input attributes name check type label id check no server data unknown type tag input attributes name verify mail type text label email address id mail no server data email address no server data
2136,0,  tag input attributes name alias type text label yahoo japan id ニックネーム シークレットid メールアドレス 携帯電話番号 ua autofill hints id alias crowdsourcing autofill hints no server data computed autofill hints no server data maxlength   tag form attributes name form   表示されている文字を入力してください tag input attributes name captcha answer type text label 表示されている文字を入力してください ua autofill hints id inputtext crowdsourcing autofill hints no server data computed autofill hints no server data maxlength   表示されている文字を入力してください tag input attributes name captcha answer type text label 表示されている文字を入力してください ua autofill hints id inputtext crowdsourcing autofill hints no server data computed autofill hints no server data maxlength ,19,tag input attributes name type text label yahoo japan id id no server data no server data tag form attributes name form tag input attributes name answer type text label id no server data no server data tag input attributes name answer type text label id no server data no server data
2138,209,  メールアドレス user mail  missing   missing new user,15,user mail new user
2139,97,  first name first name input  first name parent  signup form container  textinput placeholder,17,first name first name input first name parent form
2140,97,  last name last name input  last name parent    ,17,last name last name input last name parent
2141,33,  email address email input  email parent    signup form container,15,email address email input email parent form
2142,129,  create a password password input  password parent    ,18,create a password password input password parent
2143,129,  re enter password reenter password input  reenter password parent  textinput placeholder  signup form container,18,re enter password password input password parent form
2144,33,  email address email input  email parent  textinput placeholder  ,15,email address email input email parent
2145,16417,  mail tripmile jp   action bar root    ,15,mail action bar root
2146,16513,    action bar root    ,18,action bar root
2147,16417,  mail tripmile jp   action bar root    ,15,mail action bar root
2148,65569,  inputfirstname  signupfirstname  textinput prefix text  textinput placeholder,17,text
2149,65569,  inputlastname  signuplastname  textinput suffix text  textinput suffix text,17,text text
2150,65569,  inputemail  signupemail  textinput suffix text  textinput suffix text,15,text text
2151,129,    signuppassword  textinput suffix text  loginlayout,18,text
2152,65665,  oldpasswordinput  oldpasswordlayout  action bar root  textinput suffix text,18,action bar root text
2153,65665,  newpasswordinput  newpasswordlayout  textinput prefix text  action bar root,18,text action bar root
2154,65665,  confirmpasswordinput  confirmpasswordlayout  textinput suffix text  action bar root,18,text action bar root
2155,65569,  emailedittext  emaillayout  textinput suffix text  textinput prefix text,15,text text
2156,209,  email textfield email  missing   missing   missing ,15,email email
2157,225,  password textfield password  missing   missing   missing ,18,password password
2158,225,  confirm password textfield passwordconfirm  missing   missing   missing ,18,confirm password
2159,3,  phone number edit text  action bar root  label  ,19,phone number edit text action bar root label
